mols dock_score ligand_efficiency
CHEMBL450023.sdf -8.65 -0.32037037037037036
CHEMBL4536334.sdf -8.89 -0.254
CHEMBL4547265.sdf -9.89 -0.2672972972972973
CHEMBL4588649.sdf -9.64 -0.32133333333333336
CHEMBL4739874.sdf -9.36 -0.312
CHEMBL4739971.sdf -9.34 -0.3220689655172414
CHEMBL4741207.sdf -9.29 -0.29967741935483866
CHEMBL4742937.sdf -9.01 -0.3217857142857143
CHEMBL4743451.sdf -8.85 -0.30517241379310345
CHEMBL4744094.sdf -8.67 -0.30964285714285716
CHEMBL4747556.sdf -8.86 -0.2858064516129032
CHEMBL4748148.sdf -10.04 -0.3462068965517241
CHEMBL4751781.sdf -8.76 -0.31285714285714283
CHEMBL4752145.sdf -8.69 -0.31035714285714283
CHEMBL4753061.sdf -9.56 -0.30838709677419357
CHEMBL4754119.sdf -9.95 -0.33166666666666667
CHEMBL4757032.sdf -9.12 -0.33777777777777773
CHEMBL4757408.sdf -9.26 -0.3193103448275862
CHEMBL4758920.sdf -8.64 -0.28800000000000003
CHEMBL4759517.sdf -8.75 -0.3017241379310345
CHEMBL4760670.sdf -9.51 -0.3279310344827586
CHEMBL4761554.sdf -8.76 -0.292
CHEMBL4761559.sdf -9.53 -0.31766666666666665
CHEMBL4761978.sdf -9.23 -0.3182758620689655
CHEMBL4762142.sdf -9.71 -0.33482758620689657
CHEMBL4779558.sdf -9.27 -0.33107142857142857
CHEMBL4779714.sdf -9.2 -0.3172413793103448
CHEMBL4784400.sdf -8.62 -0.2972413793103448
CHEMBL4786842.sdf -9.59 -0.3306896551724138
CHEMBL4791407.sdf -9.73 -0.32433333333333336
CHEMBL4793549.sdf -8.75 -0.3125
CHEMBL4794472.sdf -9.0 -0.3103448275862069
CHEMBL4797594.sdf -9.03 -0.32249999999999995
CHEMBL5070452.sdf -9.77 -0.3053125
CHEMBL5076199.sdf -9.41 -0.2940625
CHEMBL5084099.sdf -8.58 -0.31777777777777777
CHEMBL5084374.sdf -8.99 -0.33296296296296296
CHEMBL5085435.sdf -10.24 -0.3103030303030303
CHEMBL5085666.sdf -8.65 -0.33269230769230773
CHEMBL5085818.sdf -9.76 -0.31483870967741934
CHEMBL5087410.sdf -9.53 -0.2978125
CHEMBL5088171.sdf -9.18 -0.306
CHEMBL5090603.sdf -8.76 -0.26545454545454544
CHEMBL5093348.sdf -8.67 -0.2796774193548387
CHEMBL551589.sdf -8.87 -0.3058620689655172
CHEMBL551590.sdf -9.01 -0.30033333333333334
CHEMBL552527.sdf -9.01 -0.12513888888888888
CHEMBL556625.sdf -9.24 -0.31862068965517243
CHEMBL560780.sdf -9.01 -0.31068965517241376
CHEMBL562380.sdf -9.72 -0.3351724137931035
CHEMBL562456.sdf -8.71 -0.2809677419354839
CHEMBL564392.sdf -9.79 -0.3263333333333333
schrod_136112.sdf -8.9 -0.2225
schrod_141500.sdf -8.55 -0.3053571428571429
schrod_151311.sdf -9.13 -0.3148275862068966
schrod_161891.sdf -10.39 -0.26641025641025645
schrod_162130.sdf -9.06 -0.2516666666666667
schrod_164783.sdf -8.56 -0.2853333333333333
schrod_200000.sdf -8.62 -0.28733333333333333
schrod_206895.sdf -8.58 -0.33
schrod_210317.sdf -8.66 -0.22789473684210526
schrod_222677.sdf -11.73 -0.3007692307692308
schrod_250000.sdf -8.59 -0.3181481481481481
schrod_253595.sdf -9.69 -0.2618918918918919
schrod_260687.sdf -8.94 -0.388695652173913
