Similarity;ChEMBL ID;Smiles
57,1428597;CHEMBL209521;Cc1c(NC(=O)Nc2cccc(Cl)c2)c(=O)n(-c2ccccc2)n1C
44,44444478;CHEMBL1550801;Cc1c(NC(N)=O)c(=O)n(-c2ccccc2)n1C
47,27272689;CHEMBL384106;O=C(Nc1ccc(Cl)cc1)c1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O
42,37288237;CHEMBL1558945;Cc1noc(-c2ccccc2)c1NC(=O)Nc1ccc(Cl)cc1
41,26984179;CHEMBL1733064;Cc1c(NC(=O)c2cccnc2Cl)c(=O)n(-c2ccccc2)n1C
44,82758641;CHEMBL1716201;Cc1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)n1
40,67796469;CHEMBL1519652;Cn1nc(-c2ccc(Cl)cc2)cc1NC(=O)Nc1ccccc1
43,10344756;CHEMBL1539583;CCC(CC)C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
42,64705777;CHEMBL1525963;Cc1c(NC(=O)C2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)c(=O)n(-c2ccccc2)n1C
46,03174627;CHEMBL2130910;COc1cc(OC)c(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1Cl
54,38596606;CHEMBL1724060;Cc1c(NC(=O)Nc2ccc(Cl)cc2Cl)c(=O)n(-c2ccccc2)n1C
40,90909064;CHEMBL1348300;Cc1c(NC(=S)NC(=O)c2cccc(Cl)c2)c(=O)n(-c2ccccc2)n1C
40,29850662;CHEMBL1530568;CC(C)c1ccc(NC(=O)Cn2c3ncccc3c(=O)n2-c2ccccc2)cc1
40,625;CHEMBL1323118;Cc1nn(-c2ccccc2)c(Cl)c1C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
54,38596606;CHEMBL1325087;Cc1c(NC(=O)Nc2cc(Cl)ccc2Cl)c(=O)n(-c2ccccc2)n1C
41,37931168;CHEMBL1459049;CCOC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
43,99999976;CHEMBL1688037;O=C(Nc1ccc(Cl)cc1)Nc1ccccc1Cl
40,0000006;CHEMBL484056;Cc1c(NC(=O)CC#N)c(=O)n(-c2ccccc2)n1C
42,02898443;CHEMBL457897;Cc1c(NC(=O)c2sc(=S)n(-c3ccc(Cl)cc3)c2N)c(=O)n(-c2ccccc2)n1C
45,76271176;CHEMBL1371703;CCc1ccccc1NC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
40,0000006;CHEMBL1518477;Cc1c(NC(=O)N2CCCCCC2)c(=O)n(-c2ccccc2)n1C
40,625;CHEMBL5025867;Cc1c(NC(=O)NCC2CCCCCCC2)c(=O)n(-c2ccccc2)n1C
48,33333194;CHEMBL1882402;Cc1c(NC(=O)Nc2cc(F)c(F)cc2Cl)c(=O)n(-c2ccccc2)n1C
