ChEMBLID;Smiles;Standard_Value;pChEMBL_Value
CHEMBL2391446;COc1cccc(C(=O)c2cc(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;10000;6
CHEMBL3590074;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccn3)CCCCC2)cc1;6200;6.207608311
CHEMBL3590076;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)cc1;;#NUM!
CHEMBL4165740;O=C(Nc1ccccc1)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCC1(c2ccccc2)CC1;;#NUM!
CHEMBL4454594;CCCCC(C(=O)Nc1ccc(Cl)cc1)n1nc(C)cc(Cc2ccccc2OC)c1=O;513;7.289967301
CHEMBL4176353;O=C(Nc1ccccc1)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC1(c2ccccc2)CC1;67000;5.173925197
CHEMBL212109;Cc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1F;9800;6.008773924
CHEMBL378062;Cc1c(NC(=O)Nc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C;100000;5
CHEMBL214216;CSc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1;1700;6.769551079
CHEMBL2391254;COc1cccc(Cc2ccnn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;77000;5.113509275
CHEMBL377163;CSc1ccc(NC(=O)Nc2c(C(C)C)n(C)n(C3=NCCS3)c2=O)cc1;51300;5.289882635
CHEMBL377226;Cn1c(C(C)(C)C)c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n1-c1ccccc1;230;7.638272164
CHEMBL377969;Cc1c(NC(=O)Nc2ccc(Br)cc2)c(=O)n(-c2ccccc2)n1C;900;7.045757491
CHEMBL2391441;Cc1cc(Cc2ccc(C#N)cc2)c(=O)n(CC(=O)Nc2ccc(Br)cc2)n1;500000;4.301029996
CHEMBL2391268;COc1cccc(Cc2cc(-c3ccc(Cl)cc3)nn(CC(=O)Nc3ccc4c(c3)OCO4)c2=O)c1;500000;4.301029996
CHEMBL2391263;COc1cccc(Cc2cc(-c3cccs3)nn(CC(=O)Nc3ccc(F)cc3)c2=O)c1;500000;4.301029996
CHEMBL2391257;COc1cccc(Cc2cc(C3CCCCC3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;500000;4.301029996
CHEMBL2391443;Cc1cc(Cc2cccc(Cl)c2)c(=O)n(CC(=O)Nc2ccc(I)cc2)n1;169000;4.772113295
CHEMBL3733191;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1.O=CO;88100;5.055024092
CHEMBL3729576;Cc1ccc(F)c(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)c1Cl;250000;4.602059991
CHEMBL3729480;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2nc(C(F)(F)F)cs2)[C@@H]2C=C[C@H]1C21CC1;250000;4.602059991
CHEMBL3728511;CC(C)(C)C1CCC(NC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)CC1;23900;5.621602099
CHEMBL3729885;NCCCCCNC(=O)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2F)[C@@H]2CC[C@H]1C21CC1;220;7.657577319
CHEMBL3732223;O=C(NCC1CCNCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;540;7.26760624
CHEMBL3729617;CC(C)(CN)CNC(=O)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2C=C[C@H]1C21CC1;120;7.920818754
CHEMBL3729299;O=C(NCCCCN1CCC(F)(F)C1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1.O=CO;44;8.356547324
CHEMBL3731316;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCCc2cc(F)c(Br)c(F)c2)[C@@H]2C=C[C@H]1C21CC1;11900;5.924453039
CHEMBL3590071;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3cccnc3)CCCCC2)cc1;18000;5.744727495
CHEMBL3588871;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(OC)cn3)CCCCC2)cc1;960;7.017728767
CHEMBL3590073;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccn3)CCCCC2)cc1;4500;6.346787486
